Serial,Category,Actor,ActorDescription,InteractsWithSerials,RelationshipType,Tensions,Relevance
1,Allied Nation,Canada,"Government of Canada, Canadian Armed Forces, NORAD partner, Op CARIBBE maritime contributor",10;12;15;18,"NORAD integration; maritime patrols; Op CARIBBE","Legal constraints on strikes; differing risk tolerance","Binational defense partner; NORAD/IAMD and counter-TCO operations."
2,Partner Nation,Mexico,"Government & Security Forces responsible for border security, precursor chemical flows, migration control",8;15;22;28,"Border flows; precursor chemicals; TCO corridors","Corruption; political reluctance; sovereignty sensitivity","Key border and TCO corridor state affecting homeland security."
3,Partner Nation,Colombia,"Government & Military engaged in counter-ELN and counter-FARC-D operations; major U.S. partner",23;24;18;15,"ELN/FARC-D sanctuary; border security","Limited control of frontier; regime hostility","Frontline partner vs ELN/FARC-D and regional stability anchor."
4,Partner Nation,Brazil,"Largest South American military/political actor; Amazon and Atlantic security influencer",18;28;31,"Regional diplomacy; Amazon border; PRC influence","PRC investment leverage; political swings","Major regional power affecting alignment and PRC competition."
5,Partner Nation,CaribbeanStates,"Bahamas, Jamaica, Trinidad—critical maritime chokepoints and SOF access points",15;22;28,"Maritime chokepoints; TCO routes","Weak governance; PRC port influence","Control maritime chokepoints impacting TCO flows and access."
6,Multilateral Org,OAS,"Organization of American States—hemispheric political body for legitimacy and collective action",1;2;3;4;5;18;28,"Regional political coordination","Blocked consensus by Venezuela/PRC-aligned members","Provides hemispheric legitimacy for multilateral actions."
7,Multilateral Org,IADB,"Inter-American Defense Board—military advisory and coordination mechanism",1;2;3;4;5;18,"Inter-American military forum","Limited authority; political friction","Supports multinational defense planning and interoperability."
8,US System Actor,DHS,"Dept. of Homeland Security—border, aviation, and maritime security integration",2;10;15;18;22,"Border security; migration flows; interdictions","Title 10 vs Title 6 friction; intel barriers","Integrates domestic homeland security with WHEMCOM mission."
9,US System Actor,FBI,"Federal Bureau of Investigation—counterintelligence and counterterrorism for proxies (Hezbollah/IRGC)",25;26;18,"CT/CI vs Hezbollah, IRGC, regime intel","Jurisdiction limits; host-nation cooperation","Primary CT/CI actor targeting foreign proxy networks."
10,US System Actor,USCoastGuard,"Title 14 maritime law enforcement for interdiction, counter-drug operations, and MDA",1;2;5;15;22,"Maritime interdiction; TCO disruption","ROE limits; lack of partner capacity","Primary force for maritime interdiction in approaches."
11,US System Actor,StateDept,"U.S. Department of State—diplomacy, sanctions, and coalition building",1;2;3;4;5;6;7;18;28;29;30;31;32,"Diplomacy; sanctions; coalition building","Divergent partner priorities","Leads diplomatic synchronization and coalition maintenance."
12,US System Actor,NORAD,"Binational aerospace/missile/maritime warning command (U.S.–Canada)",1;10;18;28,"Aerospace/maritime warning","Sensor gaps; modernization needs","Foundational to integrated domain awareness and missile warning."
13,US System Actor,SOCNORTH_SOCSOUTH,"Special Operations Commands—counter-TCO, counter-VEO, irregular warfare",23;24;25;26;27;22;18,"SOF vs TCO/VEO/proxies","Political sensitivity; intel-sharing limits","SOF lead against irregular threats across NORTHCOM/SOUTHCOM."
14,US System Actor,JTFN,"Joint Task Force North—DoD support to U.S. border security",2;8;22,"Border coordination; interdiction fusion","Legal constraints; varied cooperation","Synchronizes military support to homeland border and TCO disruption."
15,US System Actor,JIATF-S,"Joint Interagency Task Force South—multinational maritime interdiction fusion center",1;2;3;4;5;22;23;24,"Multinational fusion center; TCO targeting","Legal limits on boat strikes; partner gaps","Primary hemispheric node for maritime counter-threat networks."
16,US System Actor,TRANSCOM,"U.S. Transportation Command—strategic lift and global mobility",1;2;3;4;5;18,"Mobility for contingencies","Lift constraints; contested logistics","Provides lift to sustain operations across the hemisphere."
17,US System Actor,CYBERCOM,"U.S. Cyber Command—network defense and counter-cyber operations",18;25;26;28;29;30,"Counters cyber/disinfo; protects networks","Attribution difficulty; hostile retaliation","Counters PRC/RUS/IRAN cyber activity and protects decision superiority."
18,Venezuelan Regime,MaduroRegime,"Authoritarian Venezuelan government aligned with PRC/Russia/Iran; central destabilizing node",1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;23;24;25;26;27;28;29;30;31;32,"Central regime node engaging all actors","Regime survival; sanctions; alignment with PRC/RUS/IRAN","Primary adversarial state actor enabling external competitors and illicit networks."
19,Venezuelan Security,FANB_GNB,"Venezuelan armed forces, national guard, and regime-aligned militias",22;23;24;27;28;29;30,"Provides sanctuary; facilitates smuggling; engages foreign intel","Rivalries; corruption; dependence on backers","Security arm supporting regime survival and illicit economies."
20,Venezuelan Intel,SEBIN_DGCIM,"Intelligence and counterintelligence services collaborating with Cuba/Russia/Iran",25;26;27;28;29;30,"Intelligence sharing; internal repression","CI breaches; exposure risk","Backbone of regime intelligence and foreign liaison structure."
21,Venezuelan Economic,PDVSA_IllicitEconomy,"State oil company + illegal mining, gold smuggling, dark fleet operations",30;31;28,"Dark fleet; energy swaps; gold/oil laundering","Sanctions; internal decay","Economic engine enabling sanctions evasion and illicit funding."
22,Hybrid TCO,CartelDeLosSoles,"Criminal-military syndicate controlling cocaine and gold flows",2;5;15;23;24;31,"Controls major TCO pipelines","Internal rivalries; DEA/JIATF pressure","Key TCO node linking regime, proxies, and regional flows."
23,Foreign Proxy,ELN,"Colombian insurgent group with sanctuary and operations in Venezuela",3;18;19;22,"Sanctuary; illegal mining; trafficking","Internal factionalism; cross-border friction","Insurgent actor destabilizing Colombia and exploiting sanctuary."
24,Foreign Proxy,FARC_Dissidents,"FARC dissident fronts operating cocaine pipelines inside Venezuela",3;18;19;22;31,"Cocaine production and pipeline control","Competition with ELN; exposure to Colombia ops","Controls key cocaine routes impacting regional security."
25,Foreign Proxy,Hezbollah,"Lebanese/Iran-backed facilitators running terror finance and logistics",9;18;20;30,"Terror finance; money laundering","U.S. CT pressure; covert ops risk","Terror finance node linking Venezuela to Middle East networks."
26,Foreign Proxy,IRGC_QF,"Iranian covert/military arm providing UAV tech, cyber ops, and energy support",9;17;18;21;30,"Drones; cyber; covert support","Sanctions; escalatory potential","Projects Iranian influence into the hemisphere."
27,Foreign Proxy,CubanG2,"Cuban intelligence directorate embedded in Venezuelan security apparatus",18;20,"Intelligence/security support","Dependency tension; FANB resentment","Strengthens regime security and counterintelligence."
28,External Backer,China_PRC,"People's Republic of China—loans, ports, telecom, surveillance tech, political influence",1;2;3;4;5;6;7;18;19;20;21;24;31,"Infrastructure; loans; surveillance tech","Debt leverage; regional backlash; U.S–PRC competition","Primary strategic competitor embedding dual-use assets across region."
29,External Backer,Russia,"Russian state, GRU, and PMCs providing cyber, disinfo, and arms sustainment",12;17;18;20;25,"Disinfo; cyber aid; arms sustainment","Sanctions; resource constraints","Conducts cyber, propaganda, and military support to regime."
30,External Backer,Iran,"Iranian government and IRGC enabling sanctions evasion and covert security ties",21;25;26;18,"Dark fleet; energy swaps; covert security","Sanctions; U.S./Israel pressure","Supports covert influence and sanctions evasion with Venezuela."
31,External Backer,Turkey,"Turkish government + gold traders facilitating gold laundering and financial channels",21;22;24,"Gold laundering; illicit finance","U.S. financial pressure; exposure risk","Provides financial pathways undermining sanctions."
32,External Backer,Belarus_Syria,"Authoritarian allies providing diplomatic protection and ideological support",18;20,"Diplomatic protection; ideological alignment","Limited resources; symbolic support","Adds diplomatic cover/alignment for Venezuelan regime internationally."
33,US Operational Actor,JTF_Bravo,"Joint Task Force–Bravo (Soto Cano, Honduras) providing mobility, HA/DR, and partner engagement",3;5;8;11;13;15;18;23;24,"Mobility; HA/DR; partner capacity; interdiction support","Host-nation politics; basing sensitivity; limited lift assets","Forward JTF enabling presence, mobility, and rapid response in Central America."
